iter	Passed	Remaining
0	107	106937
1	108	54304
2	110	36715
3	112	27941
4	114	22712
5	115	19119
6	117	16619
7	118	14745
8	120	13279
9	123	12195
10	124	11224
11	126	10431
12	128	9762
13	130	9176
14	132	8675
15	134	8241
16	135	7845
17	137	7517
18	139	7200
19	141	6914
20	142	6654
21	144	6430
22	146	6236
23	148	6043
24	150	5862
25	151	5685
26	153	5537
27	155	5398
28	157	5270
29	159	5143
30	160	5015
31	162	4905
32	164	4807
33	166	4719
34	168	4633
35	169	4533
36	170	4443
37	172	4359
38	173	4275
39	175	4207
40	177	4142
41	178	4080
42	180	4016
43	182	3962
44	183	3898
45	185	3843
46	187	3794
47	188	3745
48	190	3705
49	191	3646
50	193	3605
51	195	3559
52	196	3519
53	198	3481
54	200	3443
55	202	3407
56	204	3375
57	205	3343
58	207	3310
59	208	3272
60	210	3245
61	212	3217
62	213	3179
63	215	3150
64	217	3126
65	218	3097
66	220	3073
67	222	3045
68	223	3021
69	225	3000
70	227	2978
71	229	2954
72	230	2932
73	232	2914
74	234	2889
75	235	2866
76	237	2848
77	239	2828
78	240	2809
79	242	2791
80	244	2770
81	245	2748
82	246	2722
83	248	2705
84	249	2688
85	251	2671
86	252	2654
87	254	2640
88	256	2623
89	257	2608
90	259	2591
91	260	2569
92	261	2551
93	263	2536
94	264	2522
95	266	2510
96	268	2496
97	269	2482
98	271	2469
99	272	2455
100	274	2439
101	275	2428
102	277	2416
103	279	2406
104	281	2397
105	282	2386
106	284	2375
107	286	2369
108	288	2358
109	290	2348
110	291	2333
111	293	2323
112	294	2312
113	296	2302
114	298	2293
115	299	2280
116	300	2269
117	302	2260
118	303	2247
119	304	2233
120	305	2220
121	336	2424
122	338	2415
123	340	2405
124	341	2392
125	343	2385
126	345	2373
127	346	2361
128	348	2352
129	350	2342
130	351	2332
131	353	2323
132	354	2313
133	356	2303
134	357	2292
135	359	2283
136	361	2276
137	363	2268
138	364	2258
139	365	2248
140	367	2238
141	368	2227
142	370	2217
143	370	2204
144	372	2194
145	373	2186
146	375	2176
147	376	2169
148	378	2161
149	380	2154
150	381	2143
151	382	2135
152	384	2128
153	385	2118
154	386	2107
155	387	2098
156	389	2092
157	391	2087
158	393	2082
159	395	2075
160	396	2066
161	398	2060
162	400	2054
163	401	2048
164	403	2042
165	405	2037
166	407	2031
167	408	2024
168	410	2018
169	411	2010
170	413	2002
171	414	1995
172	416	1989
173	418	1984
174	420	1980
175	421	1975
176	424	1973
177	426	1967
178	427	1962
179	429	1956
180	431	1950
181	432	1944
182	434	1939
183	436	1933
184	437	1928
185	439	1922
186	440	1916
187	442	1909
188	443	1901
189	444	1896
190	446	1891
191	448	1886
192	450	1881
193	451	1877
194	453	1872
195	455	1867
196	456	1862
197	458	1858
198	460	1853
199	462	1848
200	463	1843
201	465	1837
202	466	1832
203	468	1828
204	470	1824
205	471	1818
206	473	1813
207	474	1808
208	476	1803
209	478	1799
210	480	1795
211	482	1792
212	483	1788
213	485	1782
214	486	1777
215	488	1772
216	489	1767
217	491	1763
218	493	1758
219	494	1754
220	496	1750
221	498	1745
222	500	1742
223	500	1735
224	501	1729
225	502	1722
226	504	1716
227	505	1711
228	507	1708
229	509	1704
230	510	1700
231	512	1696
232	514	1692
233	516	1689
234	517	1684
235	519	1680
236	520	1676
237	522	1673
238	524	1669
239	526	1666
240	527	1661
241	529	1657
242	530	1652
243	532	1648
244	533	1645
245	535	1641
246	537	1637
247	538	1634
248	540	1630
249	542	1626
250	544	1624
251	545	1619
252	547	1615
253	548	1611
254	550	1608
255	552	1604
256	554	1602
257	556	1600
258	558	1598
259	561	1597
260	563	1594
261	565	1591
262	567	1589
263	568	1585
264	570	1582
265	572	1579
266	574	1576
267	576	1574
268	578	1571
269	580	1568
270	581	1564
271	583	1561
272	585	1558
273	587	1555
274	588	1552
275	590	1549
276	592	1545
277	593	1542
278	596	1541
279	598	1539
280	600	1536
281	602	1535
282	605	1532
283	607	1530
284	609	1529
285	611	1527
286	613	1524
287	615	1522
288	617	1519
289	619	1517
290	621	1514
291	623	1511
292	625	1509
293	627	1506
294	629	1504
295	631	1501
296	633	1498
297	634	1495
298	636	1492
299	637	1488
300	640	1487
301	642	1484
302	644	1482
303	646	1479
304	648	1477
305	650	1474
306	651	1471
307	653	1467
308	654	1463
309	656	1461
310	658	1458
311	660	1456
312	662	1453
313	663	1450
314	665	1447
315	666	1443
316	668	1440
317	670	1438
318	672	1435
319	674	1432
320	676	1430
321	678	1427
322	680	1425
323	682	1423
324	683	1420
325	685	1417
326	687	1414
327	689	1411
328	691	1409
329	693	1407
330	696	1406
331	699	1407
332	701	1404
333	703	1402
334	705	1399
335	707	1397
336	709	1395
337	710	1392
338	712	1389
339	714	1386
340	716	1383
341	718	1381
342	719	1378
343	721	1375
344	723	1372
345	725	1370
346	726	1367
347	728	1364
348	730	1362
349	731	1359
350	733	1355
351	734	1353
352	736	1350
353	738	1347
354	740	1345
355	742	1342
356	743	1339
357	745	1337
358	747	1334
359	749	1332
360	751	1330
361	753	1327
362	754	1324
363	756	1322
364	758	1320
365	760	1317
366	762	1314
367	763	1311
368	765	1309
369	767	1306
370	769	1304
371	771	1301
372	772	1298
373	774	1296
374	776	1294
375	778	1291
376	779	1288
377	781	1286
378	783	1284
379	785	1281
380	787	1278
381	788	1276
382	790	1274
383	792	1272
384	794	1269
385	796	1267
386	798	1264
387	801	1264
388	803	1262
389	806	1260
390	808	1258
391	809	1256
392	811	1254
393	814	1252
394	815	1249
395	817	1246
396	818	1243
397	820	1240
398	821	1238
399	823	1235
400	825	1233
401	827	1231
402	829	1229
403	834	1230
404	836	1228
405	838	1226
406	840	1223
407	841	1221
408	843	1218
409	845	1216
410	846	1213
411	848	1210
412	850	1208
413	852	1206
414	853	1203
415	855	1201
416	857	1198
417	859	1196
418	861	1194
419	862	1191
420	864	1188
421	865	1186
422	867	1183
423	869	1181
424	871	1178
425	873	1176
426	874	1174
427	876	1171
428	878	1168
429	880	1166
430	881	1164
431	884	1162
432	886	1160
433	887	1157
434	889	1155
435	891	1153
436	892	1150
437	894	1148
438	896	1145
439	898	1143
440	900	1141
441	902	1138
442	903	1136
443	905	1133
444	907	1131
445	908	1128
446	910	1126
447	912	1123
448	914	1121
449	915	1119
450	917	1116
451	918	1114
452	920	1111
453	922	1109
