iter	Passed	Remaining
0	78	78372
1	79	39530
2	79	26546
3	80	20044
4	81	16163
5	81	13559
6	82	11706
7	83	10311
8	83	9230
9	84	8367
10	85	7661
11	85	7070
12	86	6566
13	87	6134
14	87	5761
15	88	5433
16	89	5151
17	89	4901
18	90	4672
19	91	4471
20	91	4283
21	92	4114
22	93	3957
23	93	3816
24	94	3685
25	95	3562
26	95	3448
27	96	3344
28	97	3248
29	97	3158
30	98	3074
31	98	2993
32	99	2916
33	100	2844
34	100	2776
35	101	2712
36	101	2650
37	102	2594
38	103	2544
39	103	2494
40	104	2447
41	105	2401
42	105	2356
43	106	2313
44	107	2272
45	107	2234
46	108	2197
47	108	2160
48	109	2125
49	110	2093
50	110	2062
51	111	2030
52	111	1999
53	112	1970
54	113	1942
55	113	1917
56	114	1892
57	115	1869
58	115	1845
59	116	1822
60	117	1803
61	117	1783
62	118	1763
63	119	1742
64	119	1723
65	120	1704
66	121	1685
67	121	1666
68	122	1647
69	122	1630
70	123	1613
71	123	1597
72	124	1581
73	125	1565
74	125	1550
75	126	1535
76	126	1520
77	127	1506
78	128	1494
79	128	1481
80	129	1468
81	130	1456
82	130	1441
83	131	1429
84	131	1420
85	132	1410
86	133	1398
87	133	1388
88	134	1377
89	135	1367
90	135	1357
91	136	1347
92	137	1337
93	137	1328
94	138	1318
95	138	1307
96	139	1297
97	139	1287
98	140	1278
99	140	1268
100	141	1259
101	142	1250
102	142	1240
103	143	1232
104	143	1223
105	143	1214
106	144	1205
107	144	1197
108	145	1189
109	146	1183
110	146	1176
111	147	1168
112	147	1160
113	148	1153
114	148	1146
115	149	1139
116	149	1130
117	150	1123
118	150	1116
119	151	1109
120	151	1103
121	152	1095
122	152	1089
123	153	1082
124	153	1076
125	154	1070
126	154	1063
127	155	1057
128	155	1051
129	156	1045
130	156	1039
131	157	1033
132	157	1028
133	158	1022
134	158	1016
135	159	1011
136	159	1005
137	160	1000
138	161	997
139	161	993
140	162	989
141	162	983
142	163	978
143	163	973
144	164	968
145	164	963
146	165	958
147	165	953
148	166	949
149	166	944
150	167	940
151	167	935
152	168	931
153	168	927
154	169	922
155	169	918
156	170	914
157	170	909
158	171	905
159	171	901
160	172	896
161	172	892
162	173	888
163	173	885
164	174	881
165	174	877
166	175	874
167	175	871
168	176	868
169	177	865
170	177	861
171	178	857
172	178	854
173	179	850
174	179	847
175	180	844
176	180	840
177	181	837
178	181	834
179	182	831
180	182	827
181	183	824
182	184	821
183	184	818
184	184	814
185	185	811
186	185	808
187	186	805
188	186	802
189	187	799
190	188	796
191	188	793
192	189	791
193	189	788
194	190	785
195	191	784
196	191	781
197	192	779
198	192	776
199	193	773
200	193	770
201	194	768
202	194	765
203	195	762
204	195	760
205	196	757
206	196	754
207	197	752
208	198	749
